Word,Frequency
holding,5
beginning,5
band,5
tv,5
memory,5
advice,5
watching,5
wild,5
secrets,5
plans,5
crawl,5
leavin',5
piano,5
roberta,5
comfort,5
ev'rybody,5
won,5
je,5
business,5
rules,5
livin',5
ooh,5
someday,5
met,5
savoirfaire,5
clear,5
bright,5
inspiration,5
beach,5
complete,5
achangin',5
madness,5
three,5
inspired,5
shine,5
scene,5
house,5
few,5
set,5
songs,5
minor,5
california,5
water,5
slowly,5
coffee,5
hair,5
danger,5
vienna,5
reality,5
guitar,5
everywhere,5
kid,5
bought,5
guy,5
nothin',5
whatever,5
miles,5
sold,5
smilin',5
careless,5
school,5
closing,5
familiar,5
telling,5
closed,5
shore,5
attitude,5
nothing's,5
boys,5
zanzibar,5
city,5
sharp,5
paid,5
color,5
ride,4
starting,4
accept,4
else's,4
looks,4
mountains,4
downeaster,4
streets,4
watch,4
weight,4
certain,4
dreaming,4
thousand,4
rich,4
buy,4
changes,4
queen,4
hae,4
o,4
thru,4
cut,4
losing,4
ran,4
doubt,4
feelin',4
seas,4
given,4
dry,4
having,4
satin,4
fashioned,4
knowing,4
walls,4
party,4
king's,4
fighting,4
hearts,4
father,4
promise,4
fear,4
spanish,4
keys,4
sang,4
heat,4
straight,4
anger,4
corner,4
use,4
damn,4
dress,4
bay,4
machine,4
blood,4
cuban,4
spoken,4
lives,4
sacred,4
year,4
happened,4
kiss,4
aw,4
survive,4
tension,4
places,4
they've,4
instead,4
being,4
where's,4
leningrad,4
tear,4
caught,4
chairs,4
breeze,4
victim,4
rosalinda's,4
loved,4
saturday,4
lay,4
less,4
class,4
goodnight,4
joe,4
quiet,4
laid,4
'bout,4
price,4
both,4
offer,4
pick,4
despite,4
breaking,4
surely,4
cannot,4
body,4
doubts,4
mouth,4
laura,4
paper,4
oooh,4
holiday,4
full,4
melody,4
wound,4
thinking,4
billy,4
feels,4
ocean,4
wake,4
refuses,4
missed,4
twice,4
taste,4
hiding,4
bird,4
understands,4
rome,4
works,4
older,4
inbetweens,4
choose,4
weary,4
bread,4
speak,4
miracle,4
romans,4
black,4
pieces,4
suburban,4
brand,4
evening,4
o'clock,4
hotel,4
rise,4
release,4
pride,4
falls,4
foot,4
lately,4
son,4
we'd,4
information,4
suddenly,4
darkness,4
variation,4
read,4
alexa,4
broadway,4
tab,4
pair,4
streetlife,3
packed,3
bring,3
writing,3
attack,3
miss,3
sky,3
bellyachin',3
promises,3
locked,3
foreign,3
lines,3
lady,3
wonder,3
colors,3
battle,3
phase,3
playing,3
lead,3
names,3
difference,3
happiness,3
ease,3
center,3
innocence,3
spendin',3
naked,3
facts,3
bag,3
demand,3
pan,3
belong,3
bills,3
wave,3
god,3
tells,3
recall,3
watched,3
havana,3
fools,3
backbreakin',3
willing,3
calls,3
dime,3
touches,3
carry,3
o',3
stiletto,3
least,3
blow,3
cost,3
untrue,3
cup,3
dead,3
fifty,3
space,3
pull,3
laying,3
showdown,3
legend,3
headin',3
guns,3
strain,3
heartache,3
scandinavian,3
sacrifice,3
question,3
east,3
quickly,3
nevada,3
yea,3
shake,3
mothers,3
sight,3
slip,3
gun,3
downtown,3
peter,3
fathers,3
drove,3
fashion,3
atmosphere,3
appreciate,3
respond,3
fears,3
letter,3
babe,3
lovers,3
orchestra,3
bitch,3
survived,3
reputation,3
wore,3
family,3
warning,3
nature,3
kinds,3
case,3
paris,3
heaven,3
diamonds,3
eye,3
likes,3
each,3
wasn't,3
suppose,3
wandered,3
bleedin',3
'til,3
clever,3
bluei,3
ole,3
questions,3
lunatic,3
embrace,3
summer,3
jealous,3
burned,3
action,3
passing,3
future,3
mistake,3
knelt,3
knife,3
euphoria,3
main,3
games,3
excited,3
brings,3
rainy,3
hardworkin',3
checking,3
book,3
solo,3
lies,3
following,3
cruel,3
perfectly,3
warnin',3
saxophone,3
anyhow,3
serenader,3
everytime,3
canyons,3
sadness,3
stars,3
mostly,3
sent,3
cheap,3
lying,3
knees,3
apart,3
missing,3
knocked,3
los,3
undeniably,3
blame,3
ought,3
angel,3
remembers,3
passed,3
shoot,3
movie,3
becomes,3
shadows,3
track,3
wear,3
drop,3
piece,3
ladies,3
ooooh,3
ev'rywhere,3
oughta,3
system,3
curtain,3
bluethey,3
rose,3
workin',3
finds,3
romance,3
papers,3
magazine,3
talkin',3
hour,3
spenders,3
fate,3
killing,3
green,3
battles,3
sailing,3
promised,3
childhood,3
blessing,3
daily,3
baby's,3
news,3
hungry,3
boneshakin',3
underground,3
believes,3
kindness,3
supply,3
passes,3
answer,3
waitress,3
pile,3
wonderful,3
keeps,3
prime,3
cared,3
already,3
act,3
anytime,3
italian,3
mexico,3
jazz,3
sick,3
asked,3
sand,3
driving,3
eat,3
reveals,3
acquaintance,3
roads,3
top,3
experience,3
stage,3
restless,3
c'etait,3
toi,3
started,3
cars,3
american,3
desire,3
blowing,3
worst,3
angelenos,3
rather,3
horses,3
table,3
handle,3
flight,3
notice,3
herself,3
romantic,3
craft,3
folks,3
sign,3
button,3
drown,3
shows,3
gold,3
sex,3
pulled,3
union,3
lifetime,3
luck,3
blueyour,3
wages,3
most,3
relax,2
possible,2
smiles,2
imagination,2
awful,2
yankees,2
load,2
prayer,2
fantasies,2
